date,game,word,wordfreq_commonality,subtlex_commonality,trend_day_language,trend_avg_200_language,trend_day_global,trend_avg_200_global
2024-10-21,1220,spoon,0.0001,0.2023,93.0,62.9,86.0,82.22
2024-10-20,1219,dicey,0.0,0.0448,100.0,0.26,100.0,3.17
2024-10-19,1218,fiber,0.0002,0.1317,83.0,36.82,93.0,85.64
2024-10-18,1217,stint,0.0001,0.0526,100.0,0.8,100.0,4.89
2024-10-17,1216,halve,0.0,0.0123,100.0,0.56,81.0,9.98
2024-10-16,1215,grant,0.0009,0.3301,100.0,49.64,73.0,71.74
2024-10-15,1214,corer,0.0,0.0,100.0,0.05,100.0,0.51
2024-10-14,1213,gamut,0.0,0.021,100.0,0.08,100.0,0.76
2024-10-13,1212,prone,0.0002,0.0968,100.0,20.82,100.0,70.84
2024-10-12,1211,stain,0.0001,0.1855,53.0,18.89,93.0,83.07
2024-10-11,1210,gusty,0.0,0.009,100.0,0.66,100.0,3.36
2024-10-10,1209,carve,0.0,0.1326,100.0,1.26,100.0,36.12
2024-10-09,1208,mommy,0.0001,0.4018,100.0,20.44,68.0,60.43
2024-10-08,1207,joint,0.001,0.3149,92.0,59.21,94.0,83.9
2024-10-07,1206,flour,0.0002,0.134,41.0,28.92,73.0,74.0
2024-10-06,1205,lager,0.0,0.0375,100.0,11.44,100.0,49.12
2024-10-05,1204,miner,0.0001,0.0842,100.0,4.97,100.0,69.6
2024-10-04,1203,title,0.0024,0.2795,86.0,60.19,87.0,78.74
2024-10-03,1202,wagon,0.0002,0.2755,71.0,32.7,74.0,81.13
2024-10-02,1201,shell,0.0005,0.2494,87.0,64.26,93.0,88.23
2024-10-01,1200,modem,0.0,0.0688,100.0,12.71,100.0,57.9
2024-09-30,1199,cloud,0.0006,0.2392,44.0,37.26,79.0,75.07
2024-09-29,1198,rider,0.0002,0.2034,79.0,66.97,86.0,79.86
2024-09-28,1197,brain,0.0017,0.4094,67.0,72.97,70.0,76.92
2024-09-27,1196,faith,0.0013,0.3624,49.0,51.58,73.0,71.36
2024-09-26,1195,thank,0.0058,0.6594,89.0,77.32,45.0,43.96
2024-09-25,1194,torch,0.0001,0.1681,46.0,18.0,19.0,20.06
2024-09-24,1193,handy,0.0002,0.2426,44.0,23.92,88.0,79.22
2024-09-23,1192,steam,0.0006,0.251,75.0,65.18,59.0,62.78
2024-09-22,1191,teach,0.0009,0.4042,74.0,70.78,76.0,76.47
2024-09-21,1190,seven,0.0023,0.4377,37.0,33.32,76.0,72.8
2024-09-20,1189,smoke,0.0009,0.3943,81.0,62.62,70.0,74.5
2024-09-19,1188,press,0.0028,0.3866,88.0,54.63,49.0,46.6
2024-09-18,1187,fully,0.0015,0.2729,100.0,20.97,96.0,75.88
2024-09-17,1186,beaut,0.0,0.0779,100.0,0.0,100.0,1.03
2024-09-16,1185,honey,0.0004,0.5364,61.0,53.83,75.0,70.01
2024-09-15,1184,recur,0.0,0.0037,100.0,0.08,100.0,1.79
2024-09-14,1183,broad,0.0006,0.2589,80.0,25.32,76.0,66.08
2024-09-13,1182,harsh,0.0003,0.1966,64.0,27.03,88.0,64.02
2024-09-12,1181,brass,0.0002,0.2419,16.0,6.58,61.0,49.26
2024-09-11,1180,aisle,0.0001,0.2003,100.0,10.36,100.0,31.41
2024-09-10,1179,rebel,0.0002,0.1737,71.0,24.06,51.0,26.6
2024-09-09,1178,debit,0.0001,0.0139,69.0,49.54,74.0,66.1
2024-09-08,1177,drawn,0.0006,0.2306,100.0,37.79,60.0,49.14
2024-09-07,1176,owner,0.0013,0.2996,78.0,73.99,74.0,78.28
2024-09-06,1175,rerun,0.0,0.0613,100.0,0.68,100.0,27.53
2024-09-05,1174,widen,0.0,0.0563,100.0,0.35,100.0,20.02
2024-09-04,1173,stern,0.0002,0.1882,100.0,16.22,87.0,60.32
2024-09-03,1172,faint,0.0001,0.2189,96.0,35.52,100.0,70.56
2024-09-02,1171,camel,0.0001,0.1687,47.0,28.38,81.0,75.44
2024-09-01,1170,mushy,0.0,0.0865,100.0,1.16,100.0,24.34
2024-08-31,1169,spout,0.0,0.0661,18.0,0.76,34.0,12.48
2024-08-30,1168,knave,0.0,0.0296,100.0,0.06,100.0,0.34
2024-08-29,1167,flunk,0.0,0.0968,100.0,0.12,100.0,1.33
2024-08-28,1166,lithe,0.0,0.0037,100.0,0.48,100.0,1.23
2024-08-27,1165,crown,0.0007,0.2525,79.0,67.26,58.0,57.0
2024-08-26,1164,stake,0.0003,0.2695,42.0,26.2,29.0,36.81
2024-08-25,1163,skate,0.0001,0.1815,12.0,6.34,11.0,10.84
2024-08-24,1162,filet,0.0,0.0623,100.0,1.04,100.0,44.19
2024-08-23,1161,leech,0.0,0.0951,100.0,1.08,100.0,21.1
2024-08-22,1160,brute,0.0001,0.1344,100.0,5.14,100.0,35.8
2024-08-21,1159,mulch,0.0,0.0336,100.0,0.0,93.0,48.21
2024-08-20,1158,delay,0.0005,0.2337,87.0,65.73,70.0,64.68
2024-08-19,1157,meter,0.0002,0.1858,49.0,42.03,64.0,62.36
2024-08-18,1156,lanky,0.0,0.0336,100.0,0.74,100.0,4.5
2024-08-17,1155,storm,0.0009,0.3253,67.0,65.12,28.0,28.8
2024-08-16,1154,brace,0.0001,0.1861,100.0,12.78,100.0,72.4
2024-08-15,1153,acorn,0.0,0.0515,100.0,2.12,71.0,38.16
